GT,Score
Down syndrome,P1
Neural tube defect,P0
Cleft lip/palate,P5
Tumor of endocrine glands,P5
Cleft palate,P5
"Renal agenesis, unilateral",P0
Pneumonia caused by Pseudomonas aeruginosa infection,P5
"47,XYY syndrome",P0
Iniencephaly ,P0
Rare cutaneous lupus erythematosus,P5
Congenital bilateral absence of vas deferens,P5
Ovarian cancer,P1
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P5
Congenital hydrocephalus,P1
Necrotizing enterocolitis,P1
Preeclampsia,P1
Asherman syndrome,P0
Renal dysplasia,P0
Diffuse large B-cell lymphoma,P5
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P0
Renal cell carcinoma,P1
Genetic peripheral neuropathy,P1
Cardiogenic shock,P1
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P1
AL amyloidosis,P0
Hepatitis delta,P0
Fetal cytomegalovirus syndrome,P1
Romano-Ward syndrome,P1
Autosomal dominant polycystic kidney disease,P1
Congenital pulmonary valvar stenosis,P5
Uveitis,P1
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P1
22q11.2 deletion syndrome,P0
Primary congenital hypothyroidism,P1
Follicular lymphoma,P5
Hemorrhagic fever-renal syndrome,P0
Non-papillary transitional cell carcinoma of the bladder,P0
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P0
Uremic pruritus,P1
Radiation proctitis,P1
Osteochondritis dissecans,P0
Isolated anencephaly/exencephaly,P5
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,P1
Congenital toxoplasmosis,P0
Placental insufficiency,P1
Fragile X syndrome,P1
Spinal cord injury,P1
Sepsis in premature infants,P1
Vernal keratoconjunctivitis,P1
Transposition of the great arteries,P0
Retinitis pigmentosa,P1
Polycythemia vera,P1
Peripartum cardiomyopathy,P5
Soft tissue sarcoma,P5
Idiopathic hypersomnia,P0
Primary systemic amyloidosis,P0
Congenital diaphragmatic hernia,P1
Partial atrioventricular septal defect,P0
Non-acquired combined pituitary hormone deficiency,P1
Central retinal vein occlusion,P5
Dermatitis herpetiformis,P1
Post-transplant lymphoproliferative disease,P2
Glial tumor,P5
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P5
Thyroid hemiagenesis,P0
Syndactyly type 1,P5
Bullous pemphigoid,P1
Alopecia universalis,P0
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P1
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P1
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P1
Craniosynostosis,P1
Esophageal atresia,P0
Congenitally uncorrected transposition of the great arteries,P0
Non-syndromic anorectal malformation,P5
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P1
Unilateral multicystic dysplastic kidney,P0
Scarring in glaucoma filtration surgical procedures,P5
Pulmonary fungal infections in patients deemed at risk,P0
Pouchitis,P1
Congenital hypothyroidism due to developmental anomaly,P1
Partial chromosome Y deletion,P0
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P1
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P1
Acute liver failure,P5
Sarcoidosis,P0
Infant acute respiratory distress syndrome,P0
Proximal spinal muscular atrophy,P1
Tenosynovial giant cell tumor,P0
Alpha-1-antitrypsin deficiency,P1
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P5
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P1
Limbal stem cell deficiency,P0
Vulvar intraepithelial neoplasia,P5
Complete atrioventricular septal defect,P0
Brugada syndrome,P0
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P5
Anal fistula,P0
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P1
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P1
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P0
Gastroschisis,P1
Trisomy 18,P0
Recessive X-linked ichthyosis,P5
Acute peripheral arterial occlusion,P1
Hereditary hemorrhagic telangiectasia,P5
Primary membranoproliferative glomerulonephritis,P0
Buerger disease,P5
Tuberculosis,P1
Herpes simplex virus stromal keratitis,P0
Microtia,P5
Rare carcinoma of pancreas,P5
Systemic sclerosis,P1
Hepatocellular carcinoma,P0
Mucopolysaccharidosis type 4A,P5
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P0
Familial cerebral cavernous malformation,P0
Atopic keratoconjunctivitis,P5
Dentinogenesis imperfecta type 2,P5
Dentinogenesis imperfecta,P0
Thyroid ectopia,P5
Progressive supranuclear palsy,P1
Idiopathic intracranial hypertension,P0
Cystinuria,P1
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P0
Supravalvular aortic stenosis,P1
Hirschsprung disease,P1
Stargardt disease,P5
Bronchopulmonary dysplasia,P1
Pleural empyema,P0
Gastrointestinal stromal tumor,P0
Mucolipidosis type III alpha/beta,P0
Thyroid carcinoma,P1
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P0
Rare lymphatic malformation,P5
Stickler syndrome,P5
CD4+/CD56+ hematodermic neoplasm,P0
Small cell lung cancer,P1
Medium chain acyl-CoA dehydrogenase deficiency,P0
Huntington disease,P1
Multiple myeloma,P1
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P5
Idiopathic pulmonary fibrosis,P5
Systemic mastocytosis,P5
Hemophilia A,P1
Neuroblastoma,P1
Acute lymphoblastic leukemia,P1
Mayer-Rokitansky-Küster-Hauser syndrome,P4
Williams syndrome,P5
Alopecia totalis,P1
Mastocytosis,P1
Partial deep dermal and full thickness burns,P1
Acquired aneurysmal subarachnoid hemorrhage,P1
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P3
Familial or sporadic hemiplegic migraine,P1
Acute myeloid leukemia,P1
Aicardi-Goutières syndrome,P0
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P0
Septo-optic dysplasia spectrum,P0
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P5
Sickle cell anemia,P5
Polymalformative genetic syndrome with increased risk of developing cancer,P5
Aplasia cutis congenita,P0
Duchenne muscular dystrophy,P1
Dravet syndrome,P1
