GT,Score
Down syndrome,P1
Neural tube defect,P5
Cleft lip/palate,P1
Tumor of endocrine glands,P5
Cleft palate,P5
"Renal agenesis, unilateral",P0
Pneumonia caused by Pseudomonas aeruginosa infection,P5
"47,XYY syndrome",P0
Iniencephaly ,P1
Rare cutaneous lupus erythematosus,P1
Congenital bilateral absence of vas deferens,P5
Ovarian cancer,P1
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P5
Congenital hydrocephalus,P5
Necrotizing enterocolitis,P1
Preeclampsia,P1
Asherman syndrome,P1
Renal dysplasia,P5
Diffuse large B-cell lymphoma,P5
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P1
Renal cell carcinoma,P1
Genetic peripheral neuropathy,P5
Cardiogenic shock,P0
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P5
AL amyloidosis,P1
Hepatitis delta,P0
Fetal cytomegalovirus syndrome,P0
Romano-Ward syndrome,P1
Autosomal dominant polycystic kidney disease,P1
Congenital pulmonary valvar stenosis,P0
Uveitis,P1
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P0
22q11.2 deletion syndrome,P5
Primary congenital hypothyroidism,P5
Follicular lymphoma,P5
Hemorrhagic fever-renal syndrome,P1
Non-papillary transitional cell carcinoma of the bladder,P1
High-grade dysplasia in patients with Barrett esophagus,P1
Aorta coarctation,P1
Uremic pruritus,P0
Radiation proctitis,P0
Osteochondritis dissecans,P1
Isolated anencephaly/exencephaly,P0
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,P5
Congenital toxoplasmosis,P0
Placental insufficiency,P1
Fragile X syndrome,P1
Spinal cord injury,P5
Sepsis in premature infants,P1
Vernal keratoconjunctivitis,P1
Transposition of the great arteries,P0
Retinitis pigmentosa,P1
Polycythemia vera,P1
Peripartum cardiomyopathy,P5
Soft tissue sarcoma,P5
Idiopathic hypersomnia,P1
Primary systemic amyloidosis,P1
Congenital diaphragmatic hernia,P1
Partial atrioventricular septal defect,P5
Non-acquired combined pituitary hormone deficiency,P0
Central retinal vein occlusion,P1
Dermatitis herpetiformis,P1
Post-transplant lymphoproliferative disease,P1
Glial tumor,P5
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P5
Thyroid hemiagenesis,P0
Syndactyly type 1,P5
Bullous pemphigoid,P1
Alopecia universalis,P1
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P1
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P1
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P1
Craniosynostosis,P1
Esophageal atresia,P0
Congenitally uncorrected transposition of the great arteries,P5
Non-syndromic anorectal malformation,P5
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P0
Unilateral multicystic dysplastic kidney,P1
Scarring in glaucoma filtration surgical procedures,P1
Pulmonary fungal infections in patients deemed at risk,P5
Pouchitis,P1
Congenital hypothyroidism due to developmental anomaly,P1
Partial chromosome Y deletion,P1
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P1
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P5
Acute liver failure,P5
Sarcoidosis,P1
Infant acute respiratory distress syndrome,P1
Proximal spinal muscular atrophy,P1
Tenosynovial giant cell tumor,P0
Alpha-1-antitrypsin deficiency,P1
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P5
